,date,isEnabled,name,symbol,type
0,2017-11-03,True,Agilent Technologies Inc.,A,cs
1,2017-11-03,True,Alcoa Corporation,AA,cs
2,2017-11-03,True,Advanced Accelerator Applications S.A.,AAAP,cs
3,2017-11-03,True,Altaba Inc.,AABA,cs
4,2017-11-03,True,AAC Holdings Inc.,AAC,cs
5,2017-11-03,True,AdvisorShares Dorsey Wright ADR,AADR,et
6,2017-11-03,True,American Airlines Group Inc.,AAL,cs
7,2017-11-03,True,Altisource Asset Management Corp Com,AAMC,cs
8,2017-11-03,True,Atlantic American Corporation,AAME,cs
9,2017-11-03,True,Aaron's Inc.,AAN,cs
10,2017-11-03,True,Applied Optoelectronics Inc.,AAOI,cs
11,2017-11-03,True,AAON Inc.,AAON,cs
12,2017-11-03,True,Advance Auto Parts Inc W/I,AAP,cs
13,2017-11-03,True,Apple Inc.,AAPL,cs
14,2017-11-03,True,American Assets Trust Inc.,AAT,cs
15,2017-11-03,True,Almaden Minerals Ltd.,AAU,cs
16,2017-11-03,True,Advantage Oil & Gas Ltd,AAV,cs
17,2017-11-03,True,Atlas Air Worldwide Holdings,AAWW,cs
18,2017-11-03,True,iShares MSCI All Country Asia ex Japan Index Fund,AAXJ,et
19,2017-11-03,True,Axon Enterprise Inc.,AAXN,cs
20,2017-11-03,True,AllianceBernstein Holding L.P. Units,AB,cs
21,2017-11-03,True,Aoxin Tianli Group Inc.,ABAC,cs
22,2017-11-03,True,ABAXIS Inc.,ABAX,cs
23,2017-11-03,True,ABB Ltd,ABB,cs
24,2017-11-03,True,AbbVie Inc.,ABBV,cs
25,2017-11-03,True,AmerisourceBergen Corporation,ABC,cs
26,2017-11-03,True,Ameris Bancorp,ABCB,cs
27,2017-11-03,True,Cambium Learning Group Inc.,ABCD,cs
28,2017-11-03,True,The Advisory Board Company,ABCO,cs
29,2017-11-03,True,Alcentra Capital Corp.,ABDC,cs
30,2017-11-03,True,Aberdeen Emerging Markets Company Oppotunities Fund Inc.,ABE,cs
31,2017-11-03,True,Abeona Therapeutics Inc.,ABEO,cs
32,2017-11-03,True,,ABEOW,N/A
33,2017-11-03,True,Ambev S.A. American Depositary Shares (Each representing 1),ABEV,cs
34,2017-11-03,True,Asbury Automotive Group Inc,ABG,cs
35,2017-11-03,True,Ability Inc.,ABIL,cs
36,2017-11-03,True,ARCA biopharma Inc.,ABIO,cs
37,2017-11-03,True,Ablynx NV,ABLX,cs
38,2017-11-03,True,ABM Industries Incorporated,ABM,cs
39,2017-11-03,True,ABIOMED Inc.,ABMD,cs
40,2017-11-03,True,Arbor Realty Trust,ABR,cs
41,2017-11-03,True,Arbor Realty Trust Preferred Series A,ABR-A,ps
42,2017-11-03,True,Arbor Realty Trust Cumulative Redeemable Preferred Series B,ABR-B,ps
43,2017-11-03,True,Arbor Realty Trust Cumulative Redeemable Preferred Series C,ABR-C,ps
44,2017-11-03,True,Arbor Realty Trust 7.375% Senior Notes due 2021,ABRN,N/A
45,2017-11-03,True,Abbott Laboratories,ABT,cs
46,2017-11-03,True,Allegiance Bancshares Inc.,ABTX,cs
47,2017-11-03,True,Arbutus Biopharma Corporation,ABUS,cs
48,2017-11-03,True,Barrick Gold Corporation,ABX,cs
49,2017-11-03,True,Atlantica Yield plc,ABY,cs
50,2017-11-03,True,Associated Capital Group Inc.,AC,cs
51,2017-11-03,True,ACADIA Pharmaceuticals Inc.,ACAD,cs
52,2017-11-03,True,Atlantic Capital Bancshares Inc.,ACBI,cs
53,2017-11-03,True,American Campus Communities Inc,ACC,cs
54,2017-11-03,True,Acco Brands Corporation,ACCO,cs
55,2017-11-03,True,Acer Therapeutics Inc.,ACER,cs
56,2017-11-03,True,,ACERW,N/A
57,2017-11-03,True,Aceto Corporation,ACET,cs
58,2017-11-03,True,Atlantic Coast Financial Corporation,ACFC,cs
59,2017-11-03,True,Arch Capital Group Ltd.,ACGL,cs
60,2017-11-03,True,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F,ACGLO,ps
61,2017-11-03,True,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,ACGLP,ps
62,2017-11-03,True,Aluminum Corporation of China Limited American Depositary Shares,ACH,cs
63,2017-11-03,True,Acadia Healthcare Company Inc.,ACHC,cs
64,2017-11-03,True,Achillion Pharmaceuticals Inc.,ACHN,cs
65,2017-11-03,True,Achieve Life Sciences Inc.,ACHV,cs
66,2017-11-03,True,Acacia Communications Inc.,ACIA,cs
67,2017-11-03,True,SPDR MSCI ACWI IMI,ACIM,et
68,2017-11-03,True,AC Immune SA,ACIU,cs
69,2017-11-03,True,ACI Worldwide Inc.,ACIW,cs
70,2017-11-03,True,Axcelis Technologies Inc.,ACLS,cs
71,2017-11-03,True,AECOM,ACM,cs
72,2017-11-03,True,,ACMR,N/A
73,2017-11-03,True,Accenture plc Class A (Ireland),ACN,cs
74,2017-11-03,True,ACNB Corporation,ACNB,cs
75,2017-11-03,True,Acorda Therapeutics Inc.,ACOR,cs
76,2017-11-03,True,Avenue Income Credit Strategies Fund,ACP,cs
77,2017-11-03,True,Ares Commercial Real Estate Corporation,ACRE,cs
78,2017-11-03,True,Aclaris Therapeutics Inc.,ACRS,cs
79,2017-11-03,True,AcelRx Pharmaceuticals Inc.,ACRX,cs
80,2017-11-03,True,American Capital Senior Floating Ltd.,ACSF,cs
81,2017-11-03,True,American Customer Satisfaction Core Alpha,ACSI,N/A
82,2017-11-03,True,Acasti Pharma Inc.,ACST,cs
83,2017-11-03,True,Actua Corporation,ACTA,cs
84,2017-11-03,True,Acacia Research Corporation,ACTG,cs
85,2017-11-03,True,Acme United Corporation.,ACU,cs
86,2017-11-03,True,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,ACV,cs
87,2017-11-03,True,iShares Edge MSCI Multifactor Global,ACWF,N/A
88,2017-11-03,True,iShares MSCI ACWI Index Fund,ACWI,et
89,2017-11-03,True,iShares Edge MSCI Min Vol Global,ACWV,et
90,2017-11-03,True,iShares MSCI ACWI ex US Index Fund,ACWX,et
91,2017-11-03,True,Acxiom Corporation,ACXM,cs
92,2017-11-03,True,AeroCentury Corp.,ACY,cs
93,2017-11-03,True,Adaptimmune Therapeutics plc,ADAP,cs
94,2017-11-03,True,Adobe Systems Incorporated,ADBE,cs
95,2017-11-03,True,Agree Realty Corporation,ADC,cs
96,2017-11-03,True,Advanced Emissions Solutions Inc.,ADES,cs
97,2017-11-03,True,Alcobra Ltd.,ADHD,cs
98,2017-11-03,True,Analog Devices Inc.,ADI,cs
99,2017-11-03,True,Archer-Daniels-Midland Company,ADM,cs
100,2017-11-03,True,ADMA Biologics Inc,ADMA,cs
101,2017-11-03,True,Adamis Pharmaceuticals Corporation,ADMP,cs
102,2017-11-03,True,Adamas Pharmaceuticals Inc.,ADMS,cs
103,2017-11-03,True,Adient plc,ADNT,cs
104,2017-11-03,True,ADOMANI Inc.,ADOM,cs
105,2017-11-03,True,Automatic Data Processing Inc.,ADP,cs
106,2017-11-03,True,BLDRS Asia 50 ADR Index Fund,ADRA,et
107,2017-11-03,True,BLDRS Developed Markets 100 ADR Index Fund,ADRD,et
108,2017-11-03,True,BLDRS Emerging Markets 50 ADR Index Fund,ADRE,et
109,2017-11-03,True,Aduro Biotech Inc.,ADRO,cs
110,2017-11-03,True,BLDRS Europe 100 ADR Index Fund,ADRU,et
111,2017-11-03,True,Alliance Data Systems Corporation,ADS,cs
112,2017-11-03,True,Autodesk Inc.,ADSK,cs
113,2017-11-03,True,Advanced Disposal Services Inc.,ADSW,cs
114,2017-11-03,True,ADTRAN Inc.,ADTN,cs
115,2017-11-03,True,Addus HomeCare Corporation,ADUS,cs
116,2017-11-03,True,Adverum Biotechnologies Inc.,ADVM,cs
117,2017-11-03,True,Adams Diversified Equity Fund Inc.,ADX,cs
